ref,deadline,category,reward,teamCount,userHasEntered
https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2,2025-04-01 23:59:00,Featured,"2,117,152 Usd",2260,False
https://www.kaggle.com/competitions/stanford-rna-3d-folding,2025-05-29 23:59:00,Featured,"75,000 Usd",725,False
https://www.kaggle.com/competitions/byu-locating-bacterial-flagellar-motors-2025,2025-06-04 23:59:00,Research,"65,000 Usd",468,False
https://www.kaggle.com/competitions/drawing-with-llms,2025-05-27 23:59:00,Featured,"50,000 Usd",613,False
https://www.kaggle.com/competitions/birdclef-2025,2025-06-05 23:59:00,Research,"50,000 Usd",522,False
https://www.kaggle.com/competitions/playground-series-s5e3,2025-03-31 23:59:00,Playground,Swag,3629,False
https://www.kaggle.com/competitions/titanic,2030-01-01 00:00:00,Getting Started,Knowledge,15896,False
https://www.kaggle.com/competitions/home-data-for-ml-course,2030-01-01 23:59:00,Getting Started,Knowledge,7019,False
https://www.kaggle.com/competitions/house-prices-advanced-regression-techniques,2030-01-01 00:00:00,Getting Started,Knowledge,4142,False
https://www.kaggle.com/competitions/spaceship-titanic,2030-01-01 00:00:00,Getting Started,Knowledge,1862,False
https://www.kaggle.com/competitions/digit-recognizer,2030-01-01 00:00:00,Getting Started,Knowledge,1250,False
https://www.kaggle.com/competitions/nlp-getting-started,2030-01-01 00:00:00,Getting Started,Knowledge,802,False
https://www.kaggle.com/competitions/store-sales-time-series-forecasting,2030-06-30 23:59:00,Getting Started,Knowledge,663,False
https://www.kaggle.com/competitions/connectx,2030-01-01 00:00:00,Getting Started,Knowledge,206,False
https://www.kaggle.com/competitions/llm-classification-finetuning,2030-07-01 23:59:00,Getting Started,Knowledge,98,False
https://www.kaggle.com/competitions/gan-getting-started,2030-07-01 23:59:00,Getting Started,Knowledge,97,False
https://www.kaggle.com/competitions/contradictory-my-dear-watson,2030-07-01 23:59:00,Getting Started,Knowledge,32,False
https://www.kaggle.com/competitions/tpu-getting-started,2030-06-03 23:59:00,Getting Started,Knowledge,20,False
https://www.kaggle.com/competitions/konwinski-prize,2025-06-11 23:59:00,Featured,"1,225,000 Usd",617,False
https://www.kaggle.com/competitions/jane-street-real-time-market-data-forecasting,2025-07-12 23:59:00,Featured,"120,000 Usd",3757,False
